asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,view_q
sgdjpy,1802,1081,721,4,83,166,0.7715380837327056,0.2272328131317014,0.04889116879369859,-0.05972749702172814,17,0.04889116879369859
rrcususd,1237,742,495,13,116,187,0.7714727396410168,2.8350931079410655,0.5785688090919858,-0.35725711848139086,6,0.5785688090919858
hpqususd,815,489,326,4,116,100,0.7700254761002929,1.0205361547913858,0.43687299940306734,-0.167777935212205,7,0.43687299940306734
eogususd,925,555,370,4,89,133,0.7637883534226684,0.5687570484804514,0.22685391719132153,-0.1989056125414312,9,0.22685391719132153
glwususd,814,488,326,28,83,130,0.7507485751884605,0.3586763778017692,0.17149446843695504,-0.15947624544554762,4,0.17149446843695504
bdevgbgbx,753,451,302,7,101,100,0.7465736433275354,0.399270272569368,0.20649002729798638,-0.235762452076618,7,0.20649002729798638
adskususd,774,464,310,4,107,100,0.7443500201911875,0.6938607320059167,0.3313868653441878,-0.3271660141951656,11,0.3313868653441878
pbrususd,404,242,162,37,197,133,0.7336790389379865,0.5279091375380498,0.554908594445815,-0.5631464206510747,3,0.554908594445815
pncususd,588,352,236,4,140,100,0.7332174860060432,0.29770441323916974,0.2051013442965821,-0.20153174194772264,4,0.2051013442965821
tategbgbx,1446,867,579,7,107,103,0.7284841582166329,0.4926144408937263,0.12346403831869268,-0.16606617101865384,11,0.12346403831869268
lwususd,605,363,242,34,119,118,0.7218948595116876,0.47385519396243314,0.3090126376120639,-0.29233706026724837,3,0.3090126376120639
jllususd,483,289,194,25,104,103,0.7210833665156073,0.07208032694082367,0.06256961331241517,-0.06217059331442217,5,0.06256961331241517
caciususd,615,369,246,34,116,124,0.7204737779979452,0.6490699665569435,0.4072083311348109,-0.30447392027590825,3,0.4072083311348109
aepususd,1449,869,580,37,194,181,0.7130749528479454,0.2723579189273988,0.07234737342644348,-0.10234820671576812,7,0.07234737342644348
yfiusd,1593,955,638,4,101,100,0.7117288017140371,2.14475638447255,0.35300825383590406,-0.44273538057251477,15,0.35300825383590406
gbridxgbp,876,525,351,10,197,118,0.7077427518434357,0.1343944406544748,0.062396822136632,-0.09166164560674046,6,0.062396822136632
tpkgbgbx,1532,919,613,10,101,100,0.7042172615772411,0.9041262344067929,0.19315173014711906,-0.2678344395340146,9,0.19315173014711906
ipgpususd,579,347,232,4,176,118,0.7034860644268794,0.4797916200049708,0.32924142553328406,-0.18275182892515462,4,0.32924142553328406
0883hkhkd,572,343,229,34,158,154,0.7026822755035954,0.48343524445538,0.3360723818975333,-0.28745462616542095,4,0.3360723818975333
emrususd,872,523,349,4,110,106,0.6992028086768841,0.40193669908783614,0.17678998471827811,-0.28163019550523744,5,0.17678998471827811
adpususd,939,563,376,13,134,127,0.696367475085955,0.3245479669083262,0.13406450678898985,-0.14748489280097143,7,0.13406450678898985
usddkk,655,393,262,4,173,103,0.6946399204004166,0.09219575979439965,0.05817888262881832,-0.05703376645172492,4,0.05817888262881832
acnususd,501,300,201,10,101,100,0.6945866747759293,0.19713280514091824,0.16316026803143324,-0.15548627992628783,6,0.16316026803143324
sjmususd,525,315,210,16,119,121,0.693411087519698,0.1580606209689004,0.12456622328094791,-0.12750945308540873,3,0.12456622328094791
gbpchf,503,301,202,10,170,103,0.688960654009432,0.04935921031725665,0.04116106041926071,-0.03535886228355551,3,0.04116106041926071
gpsususd,581,348,233,16,194,130,0.6879970492589906,0.5309671151385098,0.361259102410016,-0.28385174147885994,3,0.361259102410016
expeususd,927,556,371,22,197,193,0.6574613017500872,1.1528540738796966,0.4155808267734129,-0.3148875582119351,5,0.4155808267734129
halususd,1214,728,486,25,188,148,0.6562063052956145,0.49798023169847583,0.1501437012630502,-0.21922451193058565,6,0.1501437012630502
lngususd,484,290,194,10,107,103,0.6545175337114979,0.22169839597201646,0.19005962291888845,-0.2247858780650576,6,0.19005962291888845
usdcnh,683,409,274,4,80,118,0.6472105605541252,0.08278614706220822,0.05022663213634804,-0.0585567367896339,4,0.05022663213634804
eaususd,1051,630,421,4,191,148,0.6372045798089692,0.5669983715945999,0.1968160868194644,-0.32884734992642295,10,0.1968160868194644
eixususd,1028,616,412,7,191,160,0.6274350795724084,0.4867142623635705,0.17613373690170886,-0.32438831886345687,7,0.17613373690170886
rbsgbgbx,578,346,232,10,167,103,0.6266484187836127,0.37765824698248496,0.2628159230886633,-0.34929576372931376,4,0.26281592308866353
aaususd,970,582,388,4,80,148,0.6259803555720068,1.1016817125042122,0.37932993583946084,-0.34254573764110535,5,0.37932993583946106
idxxususd,412,247,165,25,113,109,0.6191710703229766,0.40710096504032944,0.41686279535672566,-0.22351625099725997,3,0.41686279535672566
khcususd,983,589,394,4,113,199,0.6185834409488128,0.2274888340685055,0.09165550010862455,-0.12830957352386976,5,0.09165550010862455
usdils,1428,856,572,7,197,112,0.6016263005728975,0.16971290342084688,0.04722989461091842,-0.08797808454884601,9,0.04722989461091842
sbuxususd,775,465,310,16,113,106,0.5974555669703919,0.7574603910555553,0.35741350837034624,-0.31512387270654096,4,0.35741350837034647
usdmxn,1075,645,430,10,173,127,0.5952843464302924,0.2222377269211535,0.08156225710380616,-0.07595343184113985,6,0.08156225710380616
iaggbgbx,403,241,162,4,167,142,0.5916183645563571,0.13804511923424867,0.1447819582921499,-0.266298642449238,2,0.1447819582921499
bacususd,670,402,268,37,176,172,0.5899189524530595,0.2473202455354293,0.14859070015326137,-0.2297452745758136,4,0.14859070015326137
mklususd,769,461,308,4,197,127,0.5806651761888887,0.20653199603581784,0.10808278918641401,-0.17188031016998845,7,0.10808278918641401
fitbususd,1258,754,504,13,101,100,0.5722276079354165,0.9631127126466787,0.2528740849429649,-0.25378656320000975,7,0.2528740849429649
mcdususd,743,445,298,4,197,199,0.570255122662236,0.3705826829090586,0.19544158919168786,-0.22676891615541947,5,0.19544158919168786
fdxususd,1126,675,451,4,182,103,0.5695174034649546,0.6190193452263923,0.19707334586442316,-0.4264339817480523,9,0.19707334586442316
0857hkhkd,492,295,197,4,80,112,0.5640327022128045,0.2606899829673208,0.21883063939755254,-0.2984714298100744,6,0.21883063939755254
weirgbgbx,657,394,263,10,170,103,0.5577270327077363,0.19820196723095385,0.12260591901755236,-0.1897437291973381,5,0.12260591901755236
swedasesek,764,458,306,4,161,106,0.549770408150153,0.2332940097708689,0.12229370176491572,-0.15598690219518746,5,0.12229370176491572
gpnususd,645,387,258,25,197,115,0.548208072939991,0.23440162114456187,0.14697264171084812,-0.17515458191916067,5,0.14697264171084834
vkfreur,519,311,208,25,176,121,0.548111256320021,0.3598347566489546,0.28281018871874264,-0.2443769860375541,3,0.28281018871874264
humususd,752,451,301,28,92,115,0.533051652670667,0.25366090730143687,0.13464221587098324,-0.17607284982624297,4,0.13464221587098324
kmbususd,1366,819,547,16,197,178,0.5270328391566663,0.31419151426701597,0.08770307547485712,-0.19016719570593474,8,0.08770307547485712
smingbgbx,1393,835,558,34,137,103,0.5177211068705843,0.43539766701809324,0.11525365921208208,-0.2008893379708,7,0.11525365921208208
sgdidxsgd,1012,607,405,37,116,103,0.5161127135794348,0.27368003437189303,0.10564698064036149,-0.10544051376829008,6,0.10564698064036149
mmmususd,548,328,220,4,197,106,0.5059217785045939,0.2171286551877778,0.16295630814510798,-0.3355096701782163,3,0.16295630814510798
stjgbgbx,616,369,247,16,155,100,0.5025203166363742,0.20911863423081067,0.13846644332210478,-0.40601394967015725,3,0.13846644332210478
armkususd,422,253,169,19,143,124,0.49205132305100385,0.13089951649701015,0.13034978558270516,-0.1884050827448203,3,0.13034978558270516
kssususd,929,557,372,4,173,160,0.4898258374729708,0.3166115248663417,0.13251893759974664,-0.23979361604809205,6,0.13251893759974664
jciususd,667,400,267,7,125,169,0.468440398038794,0.295708648991895,0.17727964549440012,-0.425916731492677,4,0.17727964549440012
cpigbgbx,421,252,169,10,92,166,0.45852669106904465,0.0986397303788078,0.0986397303788078,-0.12559343979283494,3,0.0986397303788078
apdususd,795,477,318,28,176,139,0.45653099517997237,0.38795457604047345,0.1890965384102692,-0.2440441808947265,4,0.1890965384102692
lvsususd,1443,865,578,19,182,172,0.4535910290719879,0.7783143195683857,0.1825917738219991,-0.32075684198671023,7,0.1825917738219991
ebsateur,507,304,203,7,188,184,0.4300632238374078,0.142669453653141,0.11689704955656999,-0.18992869583331587,3,0.11689704955656999
ewususd,515,309,206,7,101,100,0.42675095148345515,0.17032108668739432,0.13685499200481144,-0.26867227808440974,4,0.13685499200481144
cagususd,443,265,178,4,173,169,0.41585340936317317,0.23438525764277407,0.22169969155634517,-0.4300601339942264,3,0.22169969155634517
aigususd,823,493,330,37,110,100,0.4142332881255808,0.2282426267581117,0.11080583822337897,-0.3884986645728087,4,0.11080583822337897
babaususd,942,565,377,16,80,154,0.4036870435748009,0.23862515832569065,0.10015237078927708,-0.23204889845898408,7,0.10015237078927708
ibmususd,836,501,335,28,128,118,0.38985921278586505,0.24416183783795042,0.11614983798698741,-0.32060922813860765,6,0.11614983798698741
fndususd,542,325,217,7,194,193,0.38100616113240143,0.17199025077570118,0.13094792593651716,-0.2157300869466533,3,0.13094792593651716
usdron,1216,729,487,4,170,181,0.37758885329051556,0.06473662322065299,0.02192036565706834,-0.06638739830285013,6,0.02192036565706834
solbbeeur,603,361,242,37,119,109,0.37187851915761666,0.2322928563990898,0.1569746729717134,-0.2613051060550764,4,0.1569746729717134
schwususd,839,503,336,37,134,106,0.3549973557397981,0.46212211655067104,0.20963911806691216,-0.3673131853267693,4,0.20963911806691238
afgususd,527,316,211,25,194,175,0.34735692971506404,0.11431098137299522,0.09014966279428682,-0.19773340528872063,3,0.09014966279428704
kgfgbgbx,843,505,338,7,86,196,0.3471525540508569,0.24061227025149057,0.11359001230476462,-0.20515767482299663,5,0.11359001230476462
inganleur,712,427,285,10,131,100,0.32423722936019134,0.3515200928250697,0.19455658103818818,-0.4819144267856282,4,0.19455658103818818
chfils,405,243,162,22,107,100,0.30987157256038056,0.03186544024981974,0.03306494560303963,-0.12687897432217934,3,0.03306494560303963
0700hkhkd,421,252,169,28,107,106,0.28800717431872064,0.2863354933042521,0.2863354933042521,-0.4345940990597271,2,0.2863354933042521
wppgbgbx,1578,946,632,7,149,148,0.2739770610306947,0.20641944480054542,0.05125945324324088,-0.2440043482145339,8,0.05125945324324088
biibususd,528,316,212,13,101,100,0.27349741528879795,0.14986593225000222,0.1178003169454922,-0.26773955679293937,4,0.1178003169454922
usdczk,527,316,211,37,104,103,0.26536322596807344,0.04970910766664005,0.0394457625103346,-0.1483461111250194,4,0.0394457625103346
mksiususd,499,299,200,4,158,103,0.25740792586198064,0.13523960905034893,0.1128286310989206,-0.4164512938900119,5,0.1128286310989206
cclususd,514,308,206,16,95,127,0.25710062182761945,0.11783353648459416,0.09542157955203656,-0.32612811980501116,3,0.09542157955203656
bnfreur,445,267,178,16,197,112,0.2543082730327285,0.053492793244591,0.050413107828193526,-0.15732505542973146,3,0.050413107828193526
sngbgbx,842,505,337,31,104,103,0.25289005613720217,0.10798580826464721,0.052502183770901434,-0.26898540834831514,6,0.052502183770901434
svtgbgbx,1719,1031,688,10,182,115,0.251908281151872,0.24868429134638514,0.055784386349599036,-0.2310650307858109,13,0.055784386349599036
fususd,880,528,352,16,89,175,0.24798386449329346,0.6142408174763456,0.2567752211684373,-0.3547941420281842,5,0.2567752211684373
vodgbgbx,986,591,395,37,158,124,0.24694776803154586,0.1857245750672636,0.07534148580032451,-0.2111295222314277,6,0.07534148580032451
amhususd,430,258,172,37,197,175,0.2435447416056395,0.05525399738318115,0.05393498204413971,-0.19356627440004703,5,0.05393498204413971
nes1vfieur,669,401,268,16,194,100,0.24346895803145235,0.26796865225289634,0.1609041790557877,-0.611665329099595,4,0.1609041790557877
keyususd,1779,1067,712,7,170,157,0.24050084441057817,0.49341021493074266,0.09935248193442692,-0.44694795631836864,11,0.09935248193442692
nre1vfieur,549,329,220,34,113,103,0.2382269322110302,0.17046755211414322,0.12813318644835126,-0.3242925149753194,3,0.12813318644835126
kbcbeeur,804,482,322,4,80,124,0.23779591703443048,0.12005888356332739,0.06107035589607901,-0.25333490298798483,5,0.06107035589607901
matususd,1215,729,486,37,125,199,0.23222823238355614,0.41150619388259835,0.12652853891671967,-0.28947045605687655,7,0.1265285389167199
stangbgbx,1245,747,498,25,185,103,0.23049934527069224,0.23762067468020787,0.0745691202440657,-0.2890062363602044,10,0.0745691202440657
1177hkhkd,431,258,173,31,179,124,0.22913013105215618,0.17138393651014616,0.167082633889023,-0.44101384733749954,3,0.167082633889023
intcususd,620,372,248,34,113,109,0.22887726170238304,0.13328700261104665,0.08845606941238193,-0.46942905837239035,3,0.08845606941238193
kususd,1468,880,588,37,188,175,0.2279239484879321,0.16389546028986213,0.04442044646579579,-0.19763990578287716,7,0.04442044646579579
lususd,640,384,256,34,80,124,0.21418059534077655,0.09557549991346925,0.06173288032102153,-0.20216235208554545,4,0.06173288032102153
barcgbgbx,662,397,265,7,131,124,0.21376645265862826,0.29804583418510866,0.18008165182450386,-0.5306624865087114,4,0.18008165182450386
mksgbgbx,429,257,172,28,104,100,0.21060581286705754,0.18331688750649655,0.17944817536997482,-0.5775852660300136,3,0.17944817536997482
allususd,735,441,294,31,98,130,0.16516390210377047,0.0875432295872145,0.04912343443611844,-0.18542894064941012,4,0.04912343443611844
cptususd,455,273,182,4,101,100,0.1607795015703546,0.02426337437251669,0.022376239751470628,-0.11164805164329919,6,0.022376239751470628
ctshususd,462,277,185,7,95,100,0.14489433703983334,0.047386021161807124,0.04301867059277065,-0.22153253970277112,3,0.04301867059277065
ustbondtrusd,1012,607,405,4,170,145,0.1448141864300343,0.03452110801631636,0.014189569439339245,-0.06453865931273728,5,0.014189569439339245
apaususd,443,265,178,37,92,187,0.14219629241290066,0.049847808881936295,0.04734547178435844,-0.17145073700543043,3,0.04734547178435844
feususd,965,579,386,28,194,136,0.12937938058780707,0.12318073684956343,0.05185859271403337,-0.4010243145369896,6,0.05185859271403337
out1vfieur,824,494,330,25,152,148,0.12314784336481822,0.30120331621148977,0.14374687483133863,-0.7346983079442801,4,0.14374687483133863
stervfieur,776,465,311,4,191,169,0.12057316729011505,0.0905283158196033,0.04808570321594696,-0.33214047351436093,4,0.048085703215947184
avtrususd,769,461,308,10,161,103,0.11759447670922842,0.061949702543191654,0.033402250574332326,-0.482533744097617,4,0.033402250574332326
bpgbgbx,1016,609,407,10,86,136,0.11388746153558191,0.05767801507239434,0.023475146368578947,-0.19254391216237154,6,0.023475146368578947
pmususd,506,303,203,10,104,103,0.09126051506642716,0.04537200369555161,0.03759352773027036,-0.32188695694289715,3,0.03759352773027036
adbeususd,787,472,315,4,116,106,0.08914853051260363,0.08470838386837265,0.0443679828120398,-0.5573278890020595,4,0.0443679828120398
btgbgbx,1152,691,461,10,98,163,0.06728711771379421,0.0318194972490593,0.011488917550637856,-0.2197919822180747,6,0.011488917550637856
slagbgbx,1242,745,497,28,104,100,0.06080611717122637,0.050087696836655926,0.01666917460076589,-0.4596428953497578,6,0.01666917460076589
aalususd,945,567,378,4,191,133,0.057611735146095376,0.019685598880708977,0.008701795022765246,-0.2732582436648491,5,0.008701795022765246
acxeseur,515,309,206,13,122,106,0.05101651289812618,0.04181574060806059,0.03397275561684432,-0.4288713908863521,4,0.03397275561684432
heianleur,1683,1009,674,7,188,151,0.04070370683397725,0.030737161068568053,0.007589715084076465,-0.29356043793232084,15,0.007589715084076465
alksususd,467,280,187,37,197,163,0.032376992965731655,0.011787072131420828,0.010602139695176538,-0.24206869447136756,3,0.010602139695176538
plnidxpln,659,395,264,16,188,151,0.026599116293033243,0.007561163228862133,0.004817251067444239,-0.2315288696799765,9,0.004817251067444239
geususd,646,387,259,4,89,124,0.02639201522935273,0.009565975831401285,0.006218658968374147,-0.21116597037599674,5,0.006218658968374147
techususd,437,262,175,7,197,103,0.02443653310633679,0.009265405117588443,0.008910192945310813,-0.321514219496265,4,0.008910192945310813
kmxususd,668,400,268,37,197,154,0.002874415107583768,0.002094029035288436,0.0013187277135373598,-0.3919804242891793,4,0.0013187277135373598
agnnleur,738,442,296,4,194,127,-0.00661205274376464,-0.008711466740833562,-0.004976056967428422,-0.6657024553259944,5,-0.004976056967428422
ulvrgbgbx,801,480,321,37,194,190,-0.018359223787086543,-0.011477280527377953,-0.006042090456687799,-0.398970303332755,5,-0.006042090456687799
tevaususd,522,313,209,19,185,154,-0.021291578630534165,-0.013630596439568654,-0.010988810155754924,-0.4355963491221455,4,-0.010988810155754924
jwnususd,862,517,345,31,197,187,-0.04764425599844384,-0.02934483468994742,-0.014412671798720966,-0.4485871744584804,6,-0.014412671798720966
axpususd,1088,652,436,31,179,139,-0.07119254258643778,-0.055822257743167514,-0.021956432613677968,-0.30863526379027,6,-0.021956432613677968
belgbeeur,1221,732,489,34,182,127,-0.10945602930443307,-0.06207107923622457,-0.021819152206552395,-0.3073879470509271,6,-0.021819152206552395
hkgidxhkd,1358,814,544,4,101,100,-0.11407171658592055,-0.07332728475142036,-0.02330044223641725,-0.34478816423344066,11,-0.02330044223641725
abibeeur,833,499,334,37,188,118,-0.11615304014531748,-0.03556108439725025,-0.018119626598869676,-0.15465763316318573,5,-0.018119626598869676
mdtususd,597,358,239,10,143,103,-0.12188544987079046,-0.03318985690838594,-0.023479165184028483,-0.26797123926489896,4,-0.023479165184028483
avgbgbx,547,328,219,25,140,112,-0.1321952619320403,-0.09783764903089898,-0.07605618719514606,-0.48707761310072106,5,-0.07605618719514606
albususd,806,483,323,4,134,145,-0.14198054513439906,-0.07859815382690061,-0.04180987022555804,-0.3060683755544292,7,-0.04180987022555804
batsgbgbx,531,318,213,13,98,100,-0.1911538967003546,-0.011921021876771243,-0.00945859054753373,-0.05797378590658601,4,-0.00945859054753373
mkrusd,578,346,232,37,188,124,-0.19547868356855405,-0.37636827881845847,-0.2910079813632934,-0.8486716771289087,3,-0.2910079813632934
sttususd,415,249,166,16,182,184,-0.1980426461317814,-0.02978533327807731,-0.030138730097918787,-0.15448448334659548,2,-0.030138730097918676
cciususd,562,337,225,7,95,121,-0.20088400496796718,-0.039667313762176803,-0.029813104986151417,-0.1959656826753243,5,-0.029813104986151417
tlwgbgbx,613,367,246,4,170,136,-0.24443300876092222,-0.6827000336151635,-0.5453416824265976,-0.9621371390241718,3,-0.5453416824265976
gnrcususd,626,375,251,16,80,163,-0.257021386847019,-0.14797884480687085,-0.10202829121296353,-0.3741287456249394,4,-0.10202829121296353
eosusd,638,382,256,4,113,112,-0.26764033045072183,-0.3635122907500824,-0.2577280468547727,-0.766196407054924,6,-0.2577280468547727
abevususd,1109,665,444,13,80,169,-0.2827598364182185,-0.144580670707665,-0.05746077483335699,-0.31959668133985497,8,-0.05746077483335699
elsususd,582,349,233,16,116,103,-0.29894842557876317,-0.08191773786909906,-0.059847786378337875,-0.18887902984495872,4,-0.059847786378337875
chiidxusd,448,268,180,4,80,100,-0.31967319374351333,-0.09307875463813531,-0.08777339263022765,-0.24382670063565176,3,-0.08777339263022765
nzdcad,494,296,198,13,194,181,-0.3327542488763813,-0.04483992107554846,-0.038303989911893654,-0.1258881644266153,3,-0.038303989911893654
nzdchf,575,345,230,4,155,145,-0.3526651805992645,-0.05640693284425491,-0.04152255377311598,-0.14524700714338562,3,-0.04152255377311598
vnadeeur,660,396,264,7,197,193,-0.36295131708352985,-0.10112890380022843,-0.06559593517143358,-0.21368566149501272,4,-0.06559593517143347
rbiateur,661,396,265,7,176,175,-0.4493020521174489,-0.4133413663937001,-0.2877885799417025,-0.6247122900527854,4,-0.2877885799417025
glefreur,429,257,172,4,86,133,-0.4568973937736856,-0.12031010349761284,-0.11811351787003332,-0.23294827146861463,3,-0.11811351787003332
xomususd,416,249,167,19,188,148,-0.510491269183438,-0.0780273109362446,-0.07892928828034618,-0.18695723460131153,3,-0.07892928828034618
luvususd,958,574,384,22,101,100,-0.5169000958681444,-0.32657266045672384,-0.15934955256001204,-0.3970493561112672,5,-0.15934955256001204
amwlususd,547,328,219,4,80,100,-0.5593599482440196,-0.11809944062031896,-0.09204088696282042,-0.1840904147426848,3,-0.09204088696282042
tususd,523,313,210,4,83,100,-0.6099215847255708,-0.17341692271385722,-0.1421598060241921,-0.24517774187032895,3,-0.1421598060241921
copususd,413,247,166,13,101,148,-0.646519482530579,-0.33226938787860816,-0.3377061752465573,-0.4768760292158572,3,-0.3377061752465573
itubususd,695,417,278,19,101,103,-0.7768166032634258,-0.4752421683116823,-0.3227226576549215,-0.5267545346679711,4,-0.3227226576549215
eurdkk,473,283,190,13,107,127,-1.98905026885296,-0.00844667450753478,-0.0075249109409702974,-0.00844667450753478,3,-0.0075249109409702974
